gene1	gene2	connection_type	values
ENSG00000001084	ENSG00000134072	common_go_term	GO:0006351(IDA—IMP); GO:0006355(IDA—IMP); GO:0009889(IDA—IMP); GO:0010467(IDA—IMP); GO:0010468(IDA—IMP); GO:0010556(IDA—IMP); GO:0016070(IDA—IMP); GO:0019219(IDA—IMP); GO:0032774(IDA—IMP); GO:0034654(IDA—IMP); GO:0051252(IDA—IMP); GO:0060255(IDA—IDA); GO:0080090(IDA—IMP); GO:0090304(IDA—IDA); GO:0141187(IDA—IMP); GO:2001141(IDA—IMP); GO:0006351(IDA—IMP); GO:0006355(IDA—IMP)
ENSG00000001084	ENSG00000134184	common_go_term	GO:0019752(IDA—IDA); GO:0043436(IDA—IDA)
ENSG00000001084	ENSG00000134440	common_go_term	GO:0010467(IDA—IDA); GO:0016070(IDA—IDA); GO:0090304(IDA—IDA)
ENSG00000001084	ENSG00000135047	common_go_term	GO:0010467(IDA—IDA)
ENSG00000001084	ENSG00000135439	common_go_term	GO:0009892(IDA—IDA); GO:0010605(IDA—IDA); GO:0042981(IDA—IGI); GO:0043066(IDA—IGI); GO:0043069(IDA—IGI); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA)
ENSG00000001084	ENSG00000135929	common_go_term	GO:0019752(IDA—IDA); GO:0043436(IDA—IDA)
ENSG00000001084	ENSG00000138413	common_go_term	GO:0019752(IDA—IDA); GO:0043436(IDA—IDA); GO:0043648(IDA—IDA)
ENSG00000001084	ENSG00000138448	common_go_term	GO:0009892(IDA—IMP); GO:0010605(IDA—IMP); GO:0042981(IDA—IMP); GO:0043066(IDA—IMP); GO:0043069(IDA—IMP); GO:0060255(IDA—IMP); GO:0080090(IDA—IMP)
ENSG00000001084	ENSG00000138744	common_go_term	GO:0019752(IDA—IDA); GO:0043436(IDA—IDA)
ENSG00000001084	ENSG00000138760	common_go_term	GO:0080090(IDA—IMP)
ENSG00000001084	ENSG00000139567	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IMP); GO:0009889(IDA—IDA); GO:0010467(IDA—IMP); GO:0010468(IDA—IDA); GO:0010556(IDA—IMP); GO:0016070(IDA—IDA); GO:0019219(IDA—IMP); GO:0032774(IDA—IDA); GO:0034654(IDA—IMP); GO:0051252(IDA—IDA); GO:0060255(IDA—IMP); GO:0080090(IDA—IDA); GO:0090304(IDA—IMP); GO:0141187(IDA—IDA); GO:2001141(IDA—IMP); GO:0006351(IDA—IDA); GO:0006355(IDA—IMP); GO:0009889(IDA—IDA); GO:0010467(IDA—IMP); GO:0010468(IDA—IDA); GO:0010556(IDA—IMP); GO:0016070(IDA—IDA); GO:0019219(IDA—IMP); GO:0032774(IDA—IDA); GO:0034654(IDA—IMP); GO:0051252(IDA—IDA); GO:0060255(IDA—IMP); GO:0080090(IDA—IDA); GO:0090304(IDA—IMP); GO:0141187(IDA—IDA); GO:2001141(IDA—IMP)
ENSG00000001084	ENSG00000140807	common_go_term	GO:0060255(IDA—IMP); GO:0080090(IDA—IMP)
ENSG00000001084	ENSG00000140836	common_go_term	GO:0006351(IDA—EXP); GO:0006355(IDA—IDA); GO:0009889(IDA—EXP); GO:0009890(IDA—IDA); GO:0009892(IDA—EXP); GO:0010467(IDA—IDA); GO:0010468(IDA—EXP); GO:0010556(IDA—IDA); GO:0010558(IDA—EXP); GO:0010605(IDA—IDA); GO:0016070(IDA—EXP); GO:0019219(IDA—IDA); GO:0032774(IDA—EXP); GO:0034654(IDA—IDA); GO:0045892(IDA—EXP); GO:0045934(IDA—IDA); GO:0051252(IDA—EXP); GO:0051253(IDA—IDA); GO:0060255(IDA—EXP); GO:0080090(IDA—IDA); GO:0090304(IDA—EXP); GO:0141187(IDA—IDA); GO:1902679(IDA—EXP); GO:2001141(IDA—IDA); GO:0006351(IDA—EXP); GO:0006355(IDA—IDA); GO:0009889(IDA—EXP); GO:0009890(IDA—IDA); GO:0009892(IDA—EXP); GO:0010467(IDA—IDA); GO:0010468(IDA—EXP); GO:0010556(IDA—IDA); GO:0010558(IDA—EXP); GO:0010605(IDA—IDA); GO:0016070(IDA—EXP); GO:0019219(IDA—IDA); GO:0032774(IDA—EXP); GO:0034654(IDA—IDA); GO:0045892(IDA—EXP); GO:0045934(IDA—IDA); GO:0051252(IDA—EXP); GO:0051253(IDA—IDA); GO:0060255(IDA—EXP); GO:0080090(IDA—IDA); GO:0090304(IDA—EXP); GO:0141187(IDA—IDA); GO:1902679(IDA—EXP); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000140968	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0009890(IDA—IDA); GO:0009892(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IDA); GO:0010605(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0045892(IDA—IDA); GO:0045934(IDA—IDA); GO:0051252(IDA—IDA); GO:0051253(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:1902679(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000147475	common_go_term	GO:0009889(IDA—IDA); GO:0009890(IDA—IMP); GO:0009892(IDA—IMP); GO:0019752(IDA—IMP); GO:0043436(IDA—IMP); GO:0080090(IDA—IMP); GO:0009889(IDA—IDA); GO:0009890(IDA—IMP)
